stage_id,scenario_id,decision_source,attacker_strategy_id,defender_selected,raw_llm_selected_defender_strategy_id,final_defender_strategy_id,defender_executed,defense_executed,defender_action,defender_target,llm_reasoning_summary,raw_llm_reasoning_summary,executed_decision_reasoning_summary,llm_decision_mode,llm_telemetry_confidence,llm_repeat_previous_action,executed_via_fallback,fallback_reason,execution_mode,stage_valid,comparable_stage,attack_active,path_stage,attack_effect_success,defense_success,defense_confirmed,defense_effects_confirmed,defense_applied_but_not_effective,semantic_observed_defense_effects,semantic_missing_defense_effects,baseline_top_defender_strategy_id,baseline_top_defender_population_share,baseline_top_defender_tiebreak_reason,flow_rules_installed,meters_added,sensor_to_edge_latency_ms,edge_to_cloud_latency_ms,throughput_bps,summary_text
1,sen4_edge2_clouddb,llm_defender,A2_sensor_http_abuse_sen4,D3_isolate_edge2_gw_for_sen4,D3_isolate_edge2_gw_for_sen4,D3_isolate_edge2_gw_for_sen4,dry_run,False,isolate_sensor,edge2_gw,"The attack is active (attack_active=true) and has reached a high path stage (stage 3: cloud). This requires strong containment measures. Among the candidates, D1 (quarantine_sensor) offers the highest overall utility (0.5318) and targets the initial entry point (sen4), which is often critical for containing lateral movement in MTD systems. However, since multiple high-utility isolation actions are available targeting different components (D3, D4), we must select the least disruptive sufficient defense. Comparing D1, D3, and D4: D1 targets 'sen4' with a utility of 0.53; D3 targets 'edge2_gw' with a utility of 0.82; D4 targets 'edge2_vm_s4' with a utility of 0.82. Since the attack is progressing through multiple stages, isolating the gateway (D3) or VM (D4) might be more effective than re-isolating the sensor (D1), but D3 and D4 are equally strong in terms of gain/cost. We select D3 as it targets the network boundary component (gateway), which is a common choke point for lateral movement, while maintaining high security gain.","The attack is active (attack_active=true) and has reached a high path stage (stage 3: cloud). This requires strong containment measures. Among the candidates, D1 (quarantine_sensor) offers the highest overall utility (0.5318) and targets the initial entry point (sen4), which is often critical for containing lateral movement in MTD systems. However, since multiple high-utility isolation actions are available targeting different components (D3, D4), we must select the least disruptive sufficient defense. Comparing D1, D3, and D4: D1 targets 'sen4' with a utility of 0.53; D3 targets 'edge2_gw' with a utility of 0.82; D4 targets 'edge2_vm_s4' with a utility of 0.82. Since the attack is progressing through multiple stages, isolating the gateway (D3) or VM (D4) might be more effective than re-isolating the sensor (D1), but D3 and D4 are equally strong in terms of gain/cost. We select D3 as it targets the network boundary component (gateway), which is a common choke point for lateral movement, while maintaining high security gain.","The attack is active (attack_active=true) and has reached a high path stage (stage 3: cloud). This requires strong containment measures. Among the candidates, D1 (quarantine_sensor) offers the highest overall utility (0.5318) and targets the initial entry point (sen4), which is often critical for containing lateral movement in MTD systems. However, since multiple high-utility isolation actions are available targeting different components (D3, D4), we must select the least disruptive sufficient defense. Comparing D1, D3, and D4: D1 targets 'sen4' with a utility of 0.53; D3 targets 'edge2_gw' with a utility of 0.82; D4 targets 'edge2_vm_s4' with a utility of 0.82. Since the attack is progressing through multiple stages, isolating the gateway (D3) or VM (D4) might be more effective than re-isolating the sensor (D1), but D3 and D4 are equally strong in terms of gain/cost. We select D3 as it targets the network boundary component (gateway), which is a common choke point for lateral movement, while maintaining high security gain.",reactive_containment,medium,False,False,,dry_run,False,True,True,3.0,False,True,False,False,False,['gateway_blocked'],['path_broken'],D1_quarantine_sen4,0.0,utility_population_cost_tie_lexicographic_strategy_id,0.0,0.0,0.7246363636363636,0.472,9559.717187171133,"Stage 1 for sen4_edge2_clouddb: attacker A2_sensor_http_abuse_sen4 met defender D3_isolate_edge2_gw_for_sen4. Action isolate_sensor was dry_run; defense_confirmed=False; defense_effects_confirmed=False; defense_success=True. Path stage=3.0. Outcome: attack active; no defense executed. Rationale: The attack is active (attack_active=true) and has reached a high path stage (stage 3: cloud). This requires strong containment measures. Among the candidates, D1 (quarantine_sensor) offers the highest overall utility (0.5318) and targets the initial entry point (sen4), which is often critical for containing lateral movement in MTD systems. However, since multiple high-utility isolation actions are available targeting different components (D3, D4), we must select the least disruptive sufficient defense. Comparing D1, D3, and D4: D1 targets 'sen4' with a utility of 0.53; D3 targets 'edge2_gw' with a utility of 0.82; D4 targets 'edge2_vm_s4' with a utility of 0.82. Since the attack is progressing through multiple stages, isolating the gateway (D3) or VM (D4) might be more effective than re-isolating the sensor (D1), but D3 and D4 are equally strong in terms of gain/cost. We select D3 as it targets the network boundary component (gateway), which is a common choke point for lateral movement, while maintaining high security gain."
2,sen4_edge2_clouddb,llm_defender,A2_sensor_http_abuse_sen4,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,dry_run,False,isolate_sensor,edge2_vm_s4,"The attack is active (attack_active=true) and has reached a high path stage (path_stage=3, 'cloud'). This mandates strong containment over observation. Among the available options, D4 (isolate_edge2_vm_s4) offers excellent security gain (0.82), high relevance (1.0), and targets a specific component (edge2_vm_s4) crucial for the current path segment. While D1 is also strong, D4's focus on isolating the VM layer directly addresses potential lateral movement or resource exploitation at this advanced stage.","The attack is active (attack_active=true) and has reached a high path stage (path_stage=3, 'cloud'). This mandates strong containment over observation. Among the available options, D4 (isolate_edge2_vm_s4) offers excellent security gain (0.82), high relevance (1.0), and targets a specific component (edge2_vm_s4) crucial for the current path segment. While D1 is also strong, D4's focus on isolating the VM layer directly addresses potential lateral movement or resource exploitation at this advanced stage.","The attack is active (attack_active=true) and has reached a high path stage (path_stage=3, 'cloud'). This mandates strong containment over observation. Among the available options, D4 (isolate_edge2_vm_s4) offers excellent security gain (0.82), high relevance (1.0), and targets a specific component (edge2_vm_s4) crucial for the current path segment. While D1 is also strong, D4's focus on isolating the VM layer directly addresses potential lateral movement or resource exploitation at this advanced stage.",reactive_containment,high,False,False,,dry_run,False,True,True,3.0,False,True,False,False,False,['cloud_progression_suppressed'],['worker_blocked'],D1_quarantine_sen4,0.0,utility_population_cost_tie_lexicographic_strategy_id,0.0,0.0,0.6989090909090909,0.435,9559.689937806459,"Stage 2 for sen4_edge2_clouddb: attacker A2_sensor_http_abuse_sen4 met defender D4_isolate_edge2_vm_s4. Action isolate_sensor was dry_run; defense_confirmed=False; defense_effects_confirmed=False; defense_success=True. Path stage=3.0. Outcome: attack active; no defense executed. Rationale: The attack is active (attack_active=true) and has reached a high path stage (path_stage=3, 'cloud'). This mandates strong containment over observation. Among the available options, D4 (isolate_edge2_vm_s4) offers excellent security gain (0.82), high relevance (1.0), and targets a specific component (edge2_vm_s4) crucial for the current path segment. While D1 is also strong, D4's focus on isolating the VM layer directly addresses potential lateral movement or resource exploitation at this advanced stage."
3,sen4_edge2_clouddb,llm_defender,A2_sensor_http_abuse_sen4,D1_quarantine_sen4,D1_quarantine_sen4,D1_quarantine_sen4,dry_run,False,quarantine_sensor,sen4,"The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4 -> cloud_db). The current path stage is 'cloud' (path_stage=3), indicating a high level of urgency. Previous defenses were executed at the previous stage (D4: isolate_edge2_vm_s4) but failed to stop the progression, as indicated by `previous_attack_progression_continued: true`. The current evidence confirms an active attack (`attack_active: true`) and a dry run execution status for the attack effect. Given the high path relevance (1.0) and strong security gain (0.82) of isolation actions targeting critical components, immediate containment is necessary. Both D1 and D4 are highly disruptive but offer maximum security benefit by isolating key nodes in the current threat path. Since the previous defense was D4 (targeting edge2_vm_s4), repeating this action might be redundant or insufficient if the attacker has moved laterally. However, D1 (quarantine_sensor) targets 'sen4', which is the entry node and remains relevant for containing potential lateral movement back to the source. Given that both D1 and D4 are strong candidates, and D1 addresses the initial point of compromise ('sen4') while maintaining high relevance, it represents a robust reactive containment measure.","The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4 -> cloud_db). The current path stage is 'cloud' (path_stage=3), indicating a high level of urgency. Previous defenses were executed at the previous stage (D4: isolate_edge2_vm_s4) but failed to stop the progression, as indicated by `previous_attack_progression_continued: true`. The current evidence confirms an active attack (`attack_active: true`) and a dry run execution status for the attack effect. Given the high path relevance (1.0) and strong security gain (0.82) of isolation actions targeting critical components, immediate containment is necessary. Both D1 and D4 are highly disruptive but offer maximum security benefit by isolating key nodes in the current threat path. Since the previous defense was D4 (targeting edge2_vm_s4), repeating this action might be redundant or insufficient if the attacker has moved laterally. However, D1 (quarantine_sensor) targets 'sen4', which is the entry node and remains relevant for containing potential lateral movement back to the source. Given that both D1 and D4 are strong candidates, and D1 addresses the initial point of compromise ('sen4') while maintaining high relevance, it represents a robust reactive containment measure.","The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4 -> cloud_db). The current path stage is 'cloud' (path_stage=3), indicating a high level of urgency. Previous defenses were executed at the previous stage (D4: isolate_edge2_vm_s4) but failed to stop the progression, as indicated by `previous_attack_progression_continued: true`. The current evidence confirms an active attack (`attack_active: true`) and a dry run execution status for the attack effect. Given the high path relevance (1.0) and strong security gain (0.82) of isolation actions targeting critical components, immediate containment is necessary. Both D1 and D4 are highly disruptive but offer maximum security benefit by isolating key nodes in the current threat path. Since the previous defense was D4 (targeting edge2_vm_s4), repeating this action might be redundant or insufficient if the attacker has moved laterally. However, D1 (quarantine_sensor) targets 'sen4', which is the entry node and remains relevant for containing potential lateral movement back to the source. Given that both D1 and D4 are strong candidates, and D1 addresses the initial point of compromise ('sen4') while maintaining high relevance, it represents a robust reactive containment measure.",reactive_containment,medium,False,False,,dry_run,False,True,True,3.0,False,True,False,False,False,[],"['drop_rules_active', 'counters_stopped']",D1_quarantine_sen4,0.0,utility_population_cost_tie_lexicographic_strategy_id,0.0,0.0,0.7567272727272727,0.633,9563.209879348895,"Stage 3 for sen4_edge2_clouddb: attacker A2_sensor_http_abuse_sen4 met defender D1_quarantine_sen4. Action quarantine_sensor was dry_run; defense_confirmed=False; defense_effects_confirmed=False; defense_success=True. Path stage=3.0. Outcome: attack active; no defense executed. Rationale: The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4 -> cloud_db). The current path stage is 'cloud' (path_stage=3), indicating a high level of urgency. Previous defenses were executed at the previous stage (D4: isolate_edge2_vm_s4) but failed to stop the progression, as indicated by `previous_attack_progression_continued: true`. The current evidence confirms an active attack (`attack_active: true`) and a dry run execution status for the attack effect. Given the high path relevance (1.0) and strong security gain (0.82) of isolation actions targeting critical components, immediate containment is necessary. Both D1 and D4 are highly disruptive but offer maximum security benefit by isolating key nodes in the current threat path. Since the previous defense was D4 (targeting edge2_vm_s4), repeating this action might be redundant or insufficient if the attacker has moved laterally. However, D1 (quarantine_sensor) targets 'sen4', which is the entry node and remains relevant for containing potential lateral movement back to the source. Given that both D1 and D4 are strong candidates, and D1 addresses the initial point of compromise ('sen4') while maintaining high relevance, it represents a robust reactive containment measure."
4,sen4_edge2_clouddb,llm_defender,A2_sensor_http_abuse_sen4,D1_quarantine_sen4,D1_quarantine_sen4,D1_quarantine_sen4,dry_run,False,quarantine_sensor,sen4,"The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4 -> cloud_db). The current path stage is 'cloud' (path_stage=3), indicating a high level of urgency. Since the previous defense (D4) was executed in a dry run but did not confirm success, and the attacker successfully progressed to the next stage, immediate containment is necessary. Both D1 (quarantine_sensor) and D4 (isolate_edge2_vm_s4) offer the highest security gain (0.82) and are highly relevant (path_relevance=1.0). Given that the attack has reached the cloud database layer, isolating a critical upstream component like 'sen4' via quarantine is the most comprehensive reactive containment measure to halt further lateral movement or data exfiltration attempts.","The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4 -> cloud_db). The current path stage is 'cloud' (path_stage=3), indicating a high level of urgency. Since the previous defense (D4) was executed in a dry run but did not confirm success, and the attacker successfully progressed to the next stage, immediate containment is necessary. Both D1 (quarantine_sensor) and D4 (isolate_edge2_vm_s4) offer the highest security gain (0.82) and are highly relevant (path_relevance=1.0). Given that the attack has reached the cloud database layer, isolating a critical upstream component like 'sen4' via quarantine is the most comprehensive reactive containment measure to halt further lateral movement or data exfiltration attempts.","The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4 -> cloud_db). The current path stage is 'cloud' (path_stage=3), indicating a high level of urgency. Since the previous defense (D4) was executed in a dry run but did not confirm success, and the attacker successfully progressed to the next stage, immediate containment is necessary. Both D1 (quarantine_sensor) and D4 (isolate_edge2_vm_s4) offer the highest security gain (0.82) and are highly relevant (path_relevance=1.0). Given that the attack has reached the cloud database layer, isolating a critical upstream component like 'sen4' via quarantine is the most comprehensive reactive containment measure to halt further lateral movement or data exfiltration attempts.",reactive_containment,medium,False,False,,dry_run,False,True,True,3.0,False,True,False,False,False,[],"['drop_rules_active', 'counters_stopped']",D1_quarantine_sen4,0.0,utility_population_cost_tie_lexicographic_strategy_id,0.0,0.0,0.6232727272727273,0.627,9563.587720203368,"Stage 4 for sen4_edge2_clouddb: attacker A2_sensor_http_abuse_sen4 met defender D1_quarantine_sen4. Action quarantine_sensor was dry_run; defense_confirmed=False; defense_effects_confirmed=False; defense_success=True. Path stage=3.0. Outcome: attack active; no defense executed. Rationale: The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4 -> cloud_db). The current path stage is 'cloud' (path_stage=3), indicating a high level of urgency. Since the previous defense (D4) was executed in a dry run but did not confirm success, and the attacker successfully progressed to the next stage, immediate containment is necessary. Both D1 (quarantine_sensor) and D4 (isolate_edge2_vm_s4) offer the highest security gain (0.82) and are highly relevant (path_relevance=1.0). Given that the attack has reached the cloud database layer, isolating a critical upstream component like 'sen4' via quarantine is the most comprehensive reactive containment measure to halt further lateral movement or data exfiltration attempts."
5,sen4_edge2_clouddb,llm_defender,A2_sensor_http_abuse_sen4,D2_rate_limit_sen4,D2_rate_limit_sen4,D2_rate_limit_sen4,dry_run,False,rate_limit,sen4,"The current path shows an active attack progression (A2_sensor_http_abuse_sen4) moving through multiple stages towards the critical 'cloud_db' asset. The threat evidence is strong, and the path stage urgency is high because the attacker has reached a sensitive area (path_stage=3, cloud). Given that the previous defense attempt (D1_quarantine_sen4) failed to stop the progression, immediate reactive containment is necessary. Among the candidates, D2_rate_limit_sen4 offers the highest expected security gain (0.58) with a manageable QoS impact and controller cost, making it the most balanced choice for slowing down or disrupting the ongoing attack without excessive disruption.","The current path shows an active attack progression (A2_sensor_http_abuse_sen4) moving through multiple stages towards the critical 'cloud_db' asset. The threat evidence is strong, and the path stage urgency is high because the attacker has reached a sensitive area (path_stage=3, cloud). Given that the previous defense attempt (D1_quarantine_sen4) failed to stop the progression, immediate reactive containment is necessary. Among the candidates, D2_rate_limit_sen4 offers the highest expected security gain (0.58) with a manageable QoS impact and controller cost, making it the most balanced choice for slowing down or disrupting the ongoing attack without excessive disruption.","The current path shows an active attack progression (A2_sensor_http_abuse_sen4) moving through multiple stages towards the critical 'cloud_db' asset. The threat evidence is strong, and the path stage urgency is high because the attacker has reached a sensitive area (path_stage=3, cloud). Given that the previous defense attempt (D1_quarantine_sen4) failed to stop the progression, immediate reactive containment is necessary. Among the candidates, D2_rate_limit_sen4 offers the highest expected security gain (0.58) with a manageable QoS impact and controller cost, making it the most balanced choice for slowing down or disrupting the ongoing attack without excessive disruption.",reactive_containment,medium,False,False,,dry_run,False,True,True,3.0,False,True,False,False,False,['lower_gateway_queue'],['throttled_traffic'],D2_rate_limit_sen4,0.0,highest_utility,0.0,0.0,0.6958181818181818,0.629,9558.091623766195,"Stage 5 for sen4_edge2_clouddb: attacker A2_sensor_http_abuse_sen4 met defender D2_rate_limit_sen4. Action rate_limit was dry_run; defense_confirmed=False; defense_effects_confirmed=False; defense_success=True. Path stage=3.0. Outcome: attack active; no defense executed. Rationale: The current path shows an active attack progression (A2_sensor_http_abuse_sen4) moving through multiple stages towards the critical 'cloud_db' asset. The threat evidence is strong, and the path stage urgency is high because the attacker has reached a sensitive area (path_stage=3, cloud). Given that the previous defense attempt (D1_quarantine_sen4) failed to stop the progression, immediate reactive containment is necessary. Among the candidates, D2_rate_limit_sen4 offers the highest expected security gain (0.58) with a manageable QoS impact and controller cost, making it the most balanced choice for slowing down or disrupting the ongoing attack without excessive disruption."
6,sen4_edge2_clouddb,llm_defender,A2_sensor_http_abuse_sen4,D2_rate_limit_sen4,D2_rate_limit_sen4,D2_rate_limit_sen4,dry_run,False,rate_limit,sen4,"The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4) and is currently targeting the cloud database (cloud_db). The previous defense action was D2_rate_limit_sen4, which successfully slowed the attacker's progression in earlier stages. Given the high path relevance (1.0) and strong stage compatibility (0.9) for rate limiting on 'sen4', this remains the most balanced and effective defensive measure. It provides a significant security gain (0.58) while maintaining acceptable QoS impact (0.16) and controller cost (0.12). Since the attack is actively progressing, reactive containment is necessary to slow down lateral movement towards the critical cloud asset.","The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4) and is currently targeting the cloud database (cloud_db). The previous defense action was D2_rate_limit_sen4, which successfully slowed the attacker's progression in earlier stages. Given the high path relevance (1.0) and strong stage compatibility (0.9) for rate limiting on 'sen4', this remains the most balanced and effective defensive measure. It provides a significant security gain (0.58) while maintaining acceptable QoS impact (0.16) and controller cost (0.12). Since the attack is actively progressing, reactive containment is necessary to slow down lateral movement towards the critical cloud asset.","The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4) and is currently targeting the cloud database (cloud_db). The previous defense action was D2_rate_limit_sen4, which successfully slowed the attacker's progression in earlier stages. Given the high path relevance (1.0) and strong stage compatibility (0.9) for rate limiting on 'sen4', this remains the most balanced and effective defensive measure. It provides a significant security gain (0.58) while maintaining acceptable QoS impact (0.16) and controller cost (0.12). Since the attack is actively progressing, reactive containment is necessary to slow down lateral movement towards the critical cloud asset.",reactive_containment,medium,True,False,,dry_run,False,True,True,3.0,False,True,False,False,False,[],"['throttled_traffic', 'lower_gateway_queue']",D2_rate_limit_sen4,0.0,highest_utility,0.0,0.0,0.8144545454545454,0.722,9467.34515184932,"Stage 6 for sen4_edge2_clouddb: attacker A2_sensor_http_abuse_sen4 met defender D2_rate_limit_sen4. Action rate_limit was dry_run; defense_confirmed=False; defense_effects_confirmed=False; defense_success=True. Path stage=3.0. Outcome: attack active; no defense executed. Rationale: The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4) and is currently targeting the cloud database (cloud_db). The previous defense action was D2_rate_limit_sen4, which successfully slowed the attacker's progression in earlier stages. Given the high path relevance (1.0) and strong stage compatibility (0.9) for rate limiting on 'sen4', this remains the most balanced and effective defensive measure. It provides a significant security gain (0.58) while maintaining acceptable QoS impact (0.16) and controller cost (0.12). Since the attack is actively progressing, reactive containment is necessary to slow down lateral movement towards the critical cloud asset."
7,sen4_edge2_clouddb,llm_defender,A2_sensor_http_abuse_sen4,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,dry_run,False,isolate_sensor,edge2_vm_s4,"The current threat context shows an active attack ('attack_active': true) progressing through a critical path towards the 'cloud_db' (path_stage: 3). The attacker has successfully reached or is attempting to reach edge2_vm_s4. To achieve reactive containment, we must immediately disrupt the lateral movement chain. Comparing D3 and D4, both offer high security gain (0.82) and path relevance (1.0), but isolating the VM layer (D4: isolate_edge2_vm_s4) is more granular and directly targets the immediate point of compromise before reaching the cloud database, offering a higher degree of containment efficiency compared to isolating the gateway (D3). This action maximizes security gain while accepting a moderate QoS impact.","The current threat context shows an active attack ('attack_active': true) progressing through a critical path towards the 'cloud_db' (path_stage: 3). The attacker has successfully reached or is attempting to reach edge2_vm_s4. To achieve reactive containment, we must immediately disrupt the lateral movement chain. Comparing D3 and D4, both offer high security gain (0.82) and path relevance (1.0), but isolating the VM layer (D4: isolate_edge2_vm_s4) is more granular and directly targets the immediate point of compromise before reaching the cloud database, offering a higher degree of containment efficiency compared to isolating the gateway (D3). This action maximizes security gain while accepting a moderate QoS impact.","The current threat context shows an active attack ('attack_active': true) progressing through a critical path towards the 'cloud_db' (path_stage: 3). The attacker has successfully reached or is attempting to reach edge2_vm_s4. To achieve reactive containment, we must immediately disrupt the lateral movement chain. Comparing D3 and D4, both offer high security gain (0.82) and path relevance (1.0), but isolating the VM layer (D4: isolate_edge2_vm_s4) is more granular and directly targets the immediate point of compromise before reaching the cloud database, offering a higher degree of containment efficiency compared to isolating the gateway (D3). This action maximizes security gain while accepting a moderate QoS impact.",reactive_containment,medium,False,False,,dry_run,False,True,True,3.0,False,True,False,True,False,"['worker_blocked', 'cloud_progression_suppressed']",[],D2_rate_limit_sen4,0.0,utility_population_cost_tie_lexicographic_strategy_id,0.0,0.0,0.8088181818181817,0.675,9434.892326653624,"Stage 7 for sen4_edge2_clouddb: attacker A2_sensor_http_abuse_sen4 met defender D4_isolate_edge2_vm_s4. Action isolate_sensor was dry_run; defense_confirmed=False; defense_effects_confirmed=True; defense_success=True. Path stage=3.0. Outcome: attack active; no defense executed. Rationale: The current threat context shows an active attack ('attack_active': true) progressing through a critical path towards the 'cloud_db' (path_stage: 3). The attacker has successfully reached or is attempting to reach edge2_vm_s4. To achieve reactive containment, we must immediately disrupt the lateral movement chain. Comparing D3 and D4, both offer high security gain (0.82) and path relevance (1.0), but isolating the VM layer (D4: isolate_edge2_vm_s4) is more granular and directly targets the immediate point of compromise before reaching the cloud database, offering a higher degree of containment efficiency compared to isolating the gateway (D3). This action maximizes security gain while accepting a moderate QoS impact."
8,sen4_edge2_clouddb,llm_defender,A2_sensor_http_abuse_sen4,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,D4_isolate_edge2_vm_s4,executed,True,isolate_sensor,edge2_vm_s4,"The current state shows an active attack progressing through critical infrastructure components (path stage 3: cloud). The attacker is attempting to reach the final target, 'cloud_db'. Since the previous defense attempt (D4) failed to halt progression, immediate and strong containment is required. Both D3 (isolating edge2_gw) and D4 (isolating edge2_vm_s4) offer high security gain (0.82) and are highly relevant (1.0). Given the path sequence (sen4 -> edge2_gw -> edge2_vm_s4), isolating the VM (D4) is a direct containment measure against the immediate point of failure, building upon the context that this asset was already targeted previously. We select D4 as it directly addresses the most recent critical component in the path and provides maximum localized disruption to halt lateral movement.","The current state shows an active attack progressing through critical infrastructure components (path stage 3: cloud). The attacker is attempting to reach the final target, 'cloud_db'. Since the previous defense attempt (D4) failed to halt progression, immediate and strong containment is required. Both D3 (isolating edge2_gw) and D4 (isolating edge2_vm_s4) offer high security gain (0.82) and are highly relevant (1.0). Given the path sequence (sen4 -> edge2_gw -> edge2_vm_s4), isolating the VM (D4) is a direct containment measure against the immediate point of failure, building upon the context that this asset was already targeted previously. We select D4 as it directly addresses the most recent critical component in the path and provides maximum localized disruption to halt lateral movement.","The current state shows an active attack progressing through critical infrastructure components (path stage 3: cloud). The attacker is attempting to reach the final target, 'cloud_db'. Since the previous defense attempt (D4) failed to halt progression, immediate and strong containment is required. Both D3 (isolating edge2_gw) and D4 (isolating edge2_vm_s4) offer high security gain (0.82) and are highly relevant (1.0). Given the path sequence (sen4 -> edge2_gw -> edge2_vm_s4), isolating the VM (D4) is a direct containment measure against the immediate point of failure, building upon the context that this asset was already targeted previously. We select D4 as it directly addresses the most recent critical component in the path and provides maximum localized disruption to halt lateral movement.",reactive_containment,medium,False,False,,executed,True,True,True,3.0,False,True,True,True,False,"['worker_blocked', 'cloud_progression_suppressed']",[],D3_isolate_edge2_gw_for_sen4,0.0,utility_population_cost_tie_lexicographic_strategy_id,20.0,0.0,0.7943636363636363,0.79,9411.729011858726,"Stage 8 for sen4_edge2_clouddb: attacker A2_sensor_http_abuse_sen4 met defender D4_isolate_edge2_vm_s4. Action isolate_sensor was executed; defense_confirmed=True; defense_effects_confirmed=True; defense_success=True. Path stage=3.0. Outcome: security progression was reduced. Rationale: The current state shows an active attack progressing through critical infrastructure components (path stage 3: cloud). The attacker is attempting to reach the final target, 'cloud_db'. Since the previous defense attempt (D4) failed to halt progression, immediate and strong containment is required. Both D3 (isolating edge2_gw) and D4 (isolating edge2_vm_s4) offer high security gain (0.82) and are highly relevant (1.0). Given the path sequence (sen4 -> edge2_gw -> edge2_vm_s4), isolating the VM (D4) is a direct containment measure against the immediate point of failure, building upon the context that this asset was already targeted previously. We select D4 as it directly addresses the most recent critical component in the path and provides maximum localized disruption to halt lateral movement."
9,sen4_edge2_clouddb,llm_defender,A2_sensor_http_abuse_sen4,D0_observe,D0_observe,D0_observe,observe_only,False,observe,,Recovered to the canonical baseline defender because the LLM returned an invalid strategy id.,,Recovered to the canonical baseline defender because the LLM returned an invalid strategy id.,uncertainty_limited,medium,False,True,invalid_defender_strategy_id:missing,observe_only,False,False,False,0.0,False,False,False,True,False,['strategy_context_recorded'],[],D0_observe,0.0,utility_population_cost_tie_lexicographic_strategy_id,0.0,0.0,0.5936363636363636,0.515,9537.50633591758,Stage 9 for sen4_edge2_clouddb: attacker A2_sensor_http_abuse_sen4 met defender D0_observe. Action observe was observe_only; defense_confirmed=False; defense_effects_confirmed=True; defense_success=False. Path stage=0.0. Outcome: no comparable attack stage. Rationale: Recovered to the canonical baseline defender because the LLM returned an invalid strategy id.
10,sen4_edge2_clouddb,llm_defender,A2_sensor_http_abuse_sen4,D0_observe,D0_observe,D0_observe,observe_only,False,observe,,"The system is currently in a 'dry_run' state with no active attack evidence, and the path stage is at the initial entry point ('sen4'). The telemetry quality is only 'medium' due to empty metrics. Given the lack of immediate threat confirmation or high urgency, the least disruptive action (observe) is preferred. This allows for passive monitoring to gather more reliable state information without incurring unnecessary QoS impact or controller cost. While quarantine and rate limiting offer higher security gains, their associated disruption risks are unwarranted when the threat evidence is weak or non-existent.","The system is currently in a 'dry_run' state with no active attack evidence, and the path stage is at the initial entry point ('sen4'). The telemetry quality is only 'medium' due to empty metrics. Given the lack of immediate threat confirmation or high urgency, the least disruptive action (observe) is preferred. This allows for passive monitoring to gather more reliable state information without incurring unnecessary QoS impact or controller cost. While quarantine and rate limiting offer higher security gains, their associated disruption risks are unwarranted when the threat evidence is weak or non-existent.","The system is currently in a 'dry_run' state with no active attack evidence, and the path stage is at the initial entry point ('sen4'). The telemetry quality is only 'medium' due to empty metrics. Given the lack of immediate threat confirmation or high urgency, the least disruptive action (observe) is preferred. This allows for passive monitoring to gather more reliable state information without incurring unnecessary QoS impact or controller cost. While quarantine and rate limiting offer higher security gains, their associated disruption risks are unwarranted when the threat evidence is weak or non-existent.",uncertainty_limited,medium,True,False,,observe_only,False,False,False,0.0,False,False,False,True,False,['strategy_context_recorded'],[],D0_observe,0.0,highest_utility,0.0,0.0,0.5327272727272727,0.439,9541.427196275306,"Stage 10 for sen4_edge2_clouddb: attacker A2_sensor_http_abuse_sen4 met defender D0_observe. Action observe was observe_only; defense_confirmed=False; defense_effects_confirmed=True; defense_success=False. Path stage=0.0. Outcome: no comparable attack stage. Rationale: The system is currently in a 'dry_run' state with no active attack evidence, and the path stage is at the initial entry point ('sen4'). The telemetry quality is only 'medium' due to empty metrics. Given the lack of immediate threat confirmation or high urgency, the least disruptive action (observe) is preferred. This allows for passive monitoring to gather more reliable state information without incurring unnecessary QoS impact or controller cost. While quarantine and rate limiting offer higher security gains, their associated disruption risks are unwarranted when the threat evidence is weak or non-existent."
