scenario_id,stage_id,baseline_top_defender,baseline_top_defender_population_share,baseline_top_defender_tiebreak_reason,llm_selected_defender,raw_llm_alignment,final_executed_alignment,final_defender_strategy_id,executed_via_fallback,fallback_reason,raw_llm_reasoning_summary,executed_decision_reasoning_summary,llm_decision_mode,llm_telemetry_confidence,llm_repeat_previous_action,llm_baseline_alignment,override_reason,defense_executed,defense_confirmed,defense_effects_confirmed,defense_success,defense_applied_but_not_effective,attack_effect_success,aligned
sen4_edge2_clouddb,1,D1_quarantine_sen4,0.0,utility_population_cost_tie_lexicographic_strategy_id,D3_isolate_edge2_gw_for_sen4,overrode,overrode,D3_isolate_edge2_gw_for_sen4,False,,"The attack is active (attack_active=true) and has reached a high path stage (stage 3: cloud). This requires strong containment measures. Among the candidates, D1 (quarantine_sensor) offers the highest overall utility (0.5318) and targets the initial entry point (sen4), which is often critical for containing lateral movement in MTD systems. However, since multiple high-utility isolation actions are available targeting different components (D3, D4), we must select the least disruptive sufficient defense. Comparing D1, D3, and D4: D1 targets 'sen4' with a utility of 0.53; D3 targets 'edge2_gw' with a utility of 0.82; D4 targets 'edge2_vm_s4' with a utility of 0.82. Since the attack is progressing through multiple stages, isolating the gateway (D3) or VM (D4) might be more effective than re-isolating the sensor (D1), but D3 and D4 are equally strong in terms of gain/cost. We select D3 as it targets the network boundary component (gateway), which is a common choke point for lateral movement, while maintaining high security gain.","The attack is active (attack_active=true) and has reached a high path stage (stage 3: cloud). This requires strong containment measures. Among the candidates, D1 (quarantine_sensor) offers the highest overall utility (0.5318) and targets the initial entry point (sen4), which is often critical for containing lateral movement in MTD systems. However, since multiple high-utility isolation actions are available targeting different components (D3, D4), we must select the least disruptive sufficient defense. Comparing D1, D3, and D4: D1 targets 'sen4' with a utility of 0.53; D3 targets 'edge2_gw' with a utility of 0.82; D4 targets 'edge2_vm_s4' with a utility of 0.82. Since the attack is progressing through multiple stages, isolating the gateway (D3) or VM (D4) might be more effective than re-isolating the sensor (D1), but D3 and D4 are equally strong in terms of gain/cost. We select D3 as it targets the network boundary component (gateway), which is a common choke point for lateral movement, while maintaining high security gain.",reactive_containment,medium,False,overrode,High path stage (stage 3: cloud) and active attack context mandate strong containment action to prevent data exfiltration/abuse.,False,False,False,True,False,False,False
sen4_edge2_clouddb,2,D1_quarantine_sen4,0.0,utility_population_cost_tie_lexicographic_strategy_id,D4_isolate_edge2_vm_s4,overrode,overrode,D4_isolate_edge2_vm_s4,False,,"The attack is active (attack_active=true) and has reached a high path stage (path_stage=3, 'cloud'). This mandates strong containment over observation. Among the available options, D4 (isolate_edge2_vm_s4) offers excellent security gain (0.82), high relevance (1.0), and targets a specific component (edge2_vm_s4) crucial for the current path segment. While D1 is also strong, D4's focus on isolating the VM layer directly addresses potential lateral movement or resource exploitation at this advanced stage.","The attack is active (attack_active=true) and has reached a high path stage (path_stage=3, 'cloud'). This mandates strong containment over observation. Among the available options, D4 (isolate_edge2_vm_s4) offers excellent security gain (0.82), high relevance (1.0), and targets a specific component (edge2_vm_s4) crucial for the current path segment. While D1 is also strong, D4's focus on isolating the VM layer directly addresses potential lateral movement or resource exploitation at this advanced stage.",reactive_containment,high,False,overrode,"High path stage (stage 3: cloud) and active attack context require strong containment action. D1/D2 are focused on sen4, while D3/D4 target intermediate nodes. D4 provides the best combination of high security gain, relevance, and targeting a critical component (edge2_vm_s4) in the current path.",False,False,False,True,False,False,False
sen4_edge2_clouddb,3,D1_quarantine_sen4,0.0,utility_population_cost_tie_lexicographic_strategy_id,D1_quarantine_sen4,followed,followed,D1_quarantine_sen4,False,,"The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4 -> cloud_db). The current path stage is 'cloud' (path_stage=3), indicating a high level of urgency. Previous defenses were executed at the previous stage (D4: isolate_edge2_vm_s4) but failed to stop the progression, as indicated by `previous_attack_progression_continued: true`. The current evidence confirms an active attack (`attack_active: true`) and a dry run execution status for the attack effect. Given the high path relevance (1.0) and strong security gain (0.82) of isolation actions targeting critical components, immediate containment is necessary. Both D1 and D4 are highly disruptive but offer maximum security benefit by isolating key nodes in the current threat path. Since the previous defense was D4 (targeting edge2_vm_s4), repeating this action might be redundant or insufficient if the attacker has moved laterally. However, D1 (quarantine_sensor) targets 'sen4', which is the entry node and remains relevant for containing potential lateral movement back to the source. Given that both D1 and D4 are strong candidates, and D1 addresses the initial point of compromise ('sen4') while maintaining high relevance, it represents a robust reactive containment measure.","The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4 -> cloud_db). The current path stage is 'cloud' (path_stage=3), indicating a high level of urgency. Previous defenses were executed at the previous stage (D4: isolate_edge2_vm_s4) but failed to stop the progression, as indicated by `previous_attack_progression_continued: true`. The current evidence confirms an active attack (`attack_active: true`) and a dry run execution status for the attack effect. Given the high path relevance (1.0) and strong security gain (0.82) of isolation actions targeting critical components, immediate containment is necessary. Both D1 and D4 are highly disruptive but offer maximum security benefit by isolating key nodes in the current threat path. Since the previous defense was D4 (targeting edge2_vm_s4), repeating this action might be redundant or insufficient if the attacker has moved laterally. However, D1 (quarantine_sensor) targets 'sen4', which is the entry node and remains relevant for containing potential lateral movement back to the source. Given that both D1 and D4 are strong candidates, and D1 addresses the initial point of compromise ('sen4') while maintaining high relevance, it represents a robust reactive containment measure.",reactive_containment,medium,False,followed,,False,False,False,True,False,False,True
sen4_edge2_clouddb,4,D1_quarantine_sen4,0.0,utility_population_cost_tie_lexicographic_strategy_id,D1_quarantine_sen4,followed,followed,D1_quarantine_sen4,False,,"The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4 -> cloud_db). The current path stage is 'cloud' (path_stage=3), indicating a high level of urgency. Since the previous defense (D4) was executed in a dry run but did not confirm success, and the attacker successfully progressed to the next stage, immediate containment is necessary. Both D1 (quarantine_sensor) and D4 (isolate_edge2_vm_s4) offer the highest security gain (0.82) and are highly relevant (path_relevance=1.0). Given that the attack has reached the cloud database layer, isolating a critical upstream component like 'sen4' via quarantine is the most comprehensive reactive containment measure to halt further lateral movement or data exfiltration attempts.","The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4 -> cloud_db). The current path stage is 'cloud' (path_stage=3), indicating a high level of urgency. Since the previous defense (D4) was executed in a dry run but did not confirm success, and the attacker successfully progressed to the next stage, immediate containment is necessary. Both D1 (quarantine_sensor) and D4 (isolate_edge2_vm_s4) offer the highest security gain (0.82) and are highly relevant (path_relevance=1.0). Given that the attack has reached the cloud database layer, isolating a critical upstream component like 'sen4' via quarantine is the most comprehensive reactive containment measure to halt further lateral movement or data exfiltration attempts.",reactive_containment,medium,False,followed,,False,False,False,True,False,False,True
sen4_edge2_clouddb,5,D2_rate_limit_sen4,0.0,highest_utility,D2_rate_limit_sen4,followed,followed,D2_rate_limit_sen4,False,,"The current path shows an active attack progression (A2_sensor_http_abuse_sen4) moving through multiple stages towards the critical 'cloud_db' asset. The threat evidence is strong, and the path stage urgency is high because the attacker has reached a sensitive area (path_stage=3, cloud). Given that the previous defense attempt (D1_quarantine_sen4) failed to stop the progression, immediate reactive containment is necessary. Among the candidates, D2_rate_limit_sen4 offers the highest expected security gain (0.58) with a manageable QoS impact and controller cost, making it the most balanced choice for slowing down or disrupting the ongoing attack without excessive disruption.","The current path shows an active attack progression (A2_sensor_http_abuse_sen4) moving through multiple stages towards the critical 'cloud_db' asset. The threat evidence is strong, and the path stage urgency is high because the attacker has reached a sensitive area (path_stage=3, cloud). Given that the previous defense attempt (D1_quarantine_sen4) failed to stop the progression, immediate reactive containment is necessary. Among the candidates, D2_rate_limit_sen4 offers the highest expected security gain (0.58) with a manageable QoS impact and controller cost, making it the most balanced choice for slowing down or disrupting the ongoing attack without excessive disruption.",reactive_containment,medium,False,followed,,False,False,False,True,False,False,True
sen4_edge2_clouddb,6,D2_rate_limit_sen4,0.0,highest_utility,D2_rate_limit_sen4,followed,followed,D2_rate_limit_sen4,False,,"The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4) and is currently targeting the cloud database (cloud_db). The previous defense action was D2_rate_limit_sen4, which successfully slowed the attacker's progression in earlier stages. Given the high path relevance (1.0) and strong stage compatibility (0.9) for rate limiting on 'sen4', this remains the most balanced and effective defensive measure. It provides a significant security gain (0.58) while maintaining acceptable QoS impact (0.16) and controller cost (0.12). Since the attack is actively progressing, reactive containment is necessary to slow down lateral movement towards the critical cloud asset.","The attack is active and has progressed through multiple stages (sen4 -> edge2_gw -> edge2_vm_s4) and is currently targeting the cloud database (cloud_db). The previous defense action was D2_rate_limit_sen4, which successfully slowed the attacker's progression in earlier stages. Given the high path relevance (1.0) and strong stage compatibility (0.9) for rate limiting on 'sen4', this remains the most balanced and effective defensive measure. It provides a significant security gain (0.58) while maintaining acceptable QoS impact (0.16) and controller cost (0.12). Since the attack is actively progressing, reactive containment is necessary to slow down lateral movement towards the critical cloud asset.",reactive_containment,medium,True,followed,,False,False,False,True,False,False,True
sen4_edge2_clouddb,7,D2_rate_limit_sen4,0.0,utility_population_cost_tie_lexicographic_strategy_id,D4_isolate_edge2_vm_s4,overrode,overrode,D4_isolate_edge2_vm_s4,False,,"The current threat context shows an active attack ('attack_active': true) progressing through a critical path towards the 'cloud_db' (path_stage: 3). The attacker has successfully reached or is attempting to reach edge2_vm_s4. To achieve reactive containment, we must immediately disrupt the lateral movement chain. Comparing D3 and D4, both offer high security gain (0.82) and path relevance (1.0), but isolating the VM layer (D4: isolate_edge2_vm_s4) is more granular and directly targets the immediate point of compromise before reaching the cloud database, offering a higher degree of containment efficiency compared to isolating the gateway (D3). This action maximizes security gain while accepting a moderate QoS impact.","The current threat context shows an active attack ('attack_active': true) progressing through a critical path towards the 'cloud_db' (path_stage: 3). The attacker has successfully reached or is attempting to reach edge2_vm_s4. To achieve reactive containment, we must immediately disrupt the lateral movement chain. Comparing D3 and D4, both offer high security gain (0.82) and path relevance (1.0), but isolating the VM layer (D4: isolate_edge2_vm_s4) is more granular and directly targets the immediate point of compromise before reaching the cloud database, offering a higher degree of containment efficiency compared to isolating the gateway (D3). This action maximizes security gain while accepting a moderate QoS impact.",reactive_containment,medium,False,overrode,"The attack is active and progressing through critical path stages (sen4 -> edge2_gw -> edge2_vm_s4 -> cloud_db). The highest security gain comes from isolating the immediate next target, edge2_vm_s4, to prevent lateral movement into the cloud database. This action directly addresses the high path relevance and stage urgency.",False,False,True,True,False,False,False
sen4_edge2_clouddb,8,D3_isolate_edge2_gw_for_sen4,0.0,utility_population_cost_tie_lexicographic_strategy_id,D4_isolate_edge2_vm_s4,overrode,overrode,D4_isolate_edge2_vm_s4,False,,"The current state shows an active attack progressing through critical infrastructure components (path stage 3: cloud). The attacker is attempting to reach the final target, 'cloud_db'. Since the previous defense attempt (D4) failed to halt progression, immediate and strong containment is required. Both D3 (isolating edge2_gw) and D4 (isolating edge2_vm_s4) offer high security gain (0.82) and are highly relevant (1.0). Given the path sequence (sen4 -> edge2_gw -> edge2_vm_s4), isolating the VM (D4) is a direct containment measure against the immediate point of failure, building upon the context that this asset was already targeted previously. We select D4 as it directly addresses the most recent critical component in the path and provides maximum localized disruption to halt lateral movement.","The current state shows an active attack progressing through critical infrastructure components (path stage 3: cloud). The attacker is attempting to reach the final target, 'cloud_db'. Since the previous defense attempt (D4) failed to halt progression, immediate and strong containment is required. Both D3 (isolating edge2_gw) and D4 (isolating edge2_vm_s4) offer high security gain (0.82) and are highly relevant (1.0). Given the path sequence (sen4 -> edge2_gw -> edge2_vm_s4), isolating the VM (D4) is a direct containment measure against the immediate point of failure, building upon the context that this asset was already targeted previously. We select D4 as it directly addresses the most recent critical component in the path and provides maximum localized disruption to halt lateral movement.",reactive_containment,medium,False,overrode,"The attack is active and progressing through critical path stages (sen4 -> edge2_gw -> edge2_vm_s4 -> cloud_db). The previous defense (D4) was insufficient to stop the progression, indicating a high threat level. Isolating either the gateway or the VM at stage 3 is necessary to contain the immediate lateral movement and prevent access to the final target (cloud_db). D4 targets edge2_vm_s4, which was already targeted by the previous defense attempt (D4), but since the attack progressed, we must assume that asset remains a high-value point of failure. Isolating this specific VM is the most direct containment measure.",True,True,True,True,False,False,False
sen4_edge2_clouddb,9,D0_observe,0.0,utility_population_cost_tie_lexicographic_strategy_id,D0_observe,followed,followed,D0_observe,True,invalid_defender_strategy_id:missing,,Recovered to the canonical baseline defender because the LLM returned an invalid strategy id.,uncertainty_limited,medium,False,followed,"The path relevance is maximal (1.0) and the threat context suggests a high-value target (cloud_db) is being targeted via sen4. While telemetry confidence is only medium due to empty metrics, the combination of strong path evidence and the need for immediate containment outweighs the risk of disruption from quarantine.",False,False,True,True,False,False,True
sen4_edge2_clouddb,10,D0_observe,0.0,highest_utility,D0_observe,followed,followed,D0_observe,False,,"The system is currently in a 'dry_run' state with no active attack evidence, and the path stage is at the initial entry point ('sen4'). The telemetry quality is only 'medium' due to empty metrics. Given the lack of immediate threat confirmation or high urgency, the least disruptive action (observe) is preferred. This allows for passive monitoring to gather more reliable state information without incurring unnecessary QoS impact or controller cost. While quarantine and rate limiting offer higher security gains, their associated disruption risks are unwarranted when the threat evidence is weak or non-existent.","The system is currently in a 'dry_run' state with no active attack evidence, and the path stage is at the initial entry point ('sen4'). The telemetry quality is only 'medium' due to empty metrics. Given the lack of immediate threat confirmation or high urgency, the least disruptive action (observe) is preferred. This allows for passive monitoring to gather more reliable state information without incurring unnecessary QoS impact or controller cost. While quarantine and rate limiting offer higher security gains, their associated disruption risks are unwarranted when the threat evidence is weak or non-existent.",uncertainty_limited,medium,True,followed,"No immediate threat evidence (attack active=false, dry_run), and the current path stage is at the entry node (sen4). Prioritizing minimal disruption while gathering more state information.",False,False,True,True,False,False,True
